                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.556,                 1.0036,                 1.5371,                0.21766,                0.59335,                0.24354,                0.10218,                  2.111,                 2.2005,                  2.032,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4998,                0.97115,                 1.4856,                0.15874,                0.96452,                0.25468,                0.10253,                 2.2196,                 2.5991,                 2.1495,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.5084,                0.98464,                 1.5156,                0.33694,                0.78562,                0.33602,                0.12442,                 2.2777,                 2.0803,                 2.1997,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5114,                0.92973,                 1.4396,                0.23913,                0.72323,                0.24966,                0.10222,                 2.2147,                 2.3926,                   2.16,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.5488,                0.96527,                 1.5163,                0.26625,                0.51252,                0.30361,                0.11923,                 2.2823,                 2.2299,                 2.1675,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4709,                0.95844,                 1.4631,                0.25419,                0.61077,                0.26011,                0.10737,                 2.1597,                  2.477,                 2.1851,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5142,                0.94847,                  1.487,                0.22675,                0.53379,                 0.2298,                0.09058,                 2.3289,                 2.5416,                 2.1898,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4845,                0.96547,                 1.5126,                0.29646,                0.69073,                0.33289,                0.11704,                 2.5019,                 2.1354,                 2.4693,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4921,                0.91539,                 1.4756,                0.25106,                0.56513,                0.25968,                0.09923,                 2.4714,                 2.4866,                 2.3513,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.5052,                0.95263,                 1.4688,                 0.2117,                0.97101,                 0.2978,                0.11643,                  2.323,                  2.436,                 2.2133,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4792,                0.90984,                 1.4718,                 0.2707,                 0.5822,                0.29493,                0.10905,                  2.376,                 2.3047,                 2.1956,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4607,                 0.8722,                 1.4732,                0.29097,                0.57062,                0.33305,                0.14475,                 2.1484,                 2.3509,                 2.0656,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4412,                0.87411,                 1.4533,                0.20189,                 0.4901,                0.21378,                0.07998,                 2.3528,                 2.9272,                 2.2949,             0.00090785,             0.00090785,             0.00090785
                     48,                  1.443,                0.86662,                 1.4271,                0.28987,                0.52127,                0.27747,                0.09067,                 2.5192,                 2.5217,                 2.5336,             0.00089134,             0.00089134,             0.00089134
